domain,table,authority,tenant_key,purpose
identity,xiaoluo_v2_users,MySQL,user_id,账户与角色
identity,xiaoluo_v2_sessions,MySQL,user_id,会话
workspace,xiaoluo_v2_workspaces,MySQL,workspace_id,工作区
workspace,xiaoluo_v2_projects,MySQL,workspace_id,项目
workspace,xiaoluo_v2_canvases,MySQL,project_id,画布
workspace,xiaoluo_v2_canvas_snapshots,MySQL,canvas_id,画布快照
intent,xiaoluo_v2_intent_conversations,MySQL,workspace_id,意图会话
intent,xiaoluo_v2_intent_messages,MySQL,conversation_id,意图消息
intent,xiaoluo_v2_intent_plans,MySQL,conversation_id,计划
runtime,xiaoluo_v2_kernel_runs,MySQL,workspace_id,运行
runtime,xiaoluo_v2_kernel_tasks,MySQL,run_id,任务
runtime,xiaoluo_v2_run_events,MySQL,workspace_id,事件日志
runtime,xiaoluo_v2_generation_jobs,MySQL,workspace_id,异步生成
extension,xiaoluo_v2_packages,MySQL,workspace_id,安装态
extension,xiaoluo_v2_package_versions,MySQL,workspace_id,不可变版本
extension,xiaoluo_v2_capabilities,MySQL,workspace_id,能力投影
extension,xiaoluo_v2_model_connections,MySQL,workspace_id,模型连接
extension,xiaoluo_v2_secret_refs,MySQL,workspace_id,加密密钥
asset,xiaoluo_v2_assets,MySQL+OSS,workspace_id,资产元数据和对象索引
asset,xiaoluo_v2_asset_versions,MySQL+OSS,asset_id,版本
asset,xiaoluo_v2_asset_relations,MySQL,asset_id,来源追踪
asset,xiaoluo_v2_asset_collections,MySQL,workspace_id,集合
