requirement_id,priority,source_evidence_1,source_evidence_2,decision,target_contract,test_id,implementation_status,discovery_covered,decision_covered,contract_covered,test_mapped
REQ-001,P0,开发文档9,认证API,implement,phone auth and rotating access-refresh session,E2E-001,verified,yes,yes,yes,yes
REQ-002,P0,开发文档9,用户确认角色简化,implement,system admin plus enterprise admin-member,E2E-009,verified,yes,yes,yes,yes
REQ-003,P0,开发文档21,workspace permission tests,implement,resource-scoped authorization,E2E-002,verified,yes,yes,yes,yes
REQ-004,P0,开发文档10,画布UI,implement,workspace-project-canvas lifecycle revision snapshots,E2E-003,verified,yes,yes,yes,yes
REQ-005,P0,开发文档11,Intent API,implement,persistent conversation plan and SSE,E2E-004,verified,yes,yes,yes,yes
REQ-006,P0,开发文档12,Worker source,implement,leased idempotent recoverable DAG runtime,E2E-014,verified,yes,yes,yes,yes
REQ-007,P0,开发文档7,用户连线要求,implement,typed multi-edge editable acyclic graph,E2E-013,verified,yes,yes,yes,yes
REQ-008,P0,开发文档13.4,secret vault tests,implement,AES-GCM server secret references,E2E-016,verified,yes,yes,yes,yes
REQ-009,P0,开发文档14,Package contract tests,implement,versioned package lifecycle and registry,E2E-006,verified,yes,yes,yes,yes
REQ-010,P0,开发文档15,asset lineage source,implement,successful outputs persisted to OSS and MySQL,E2E-005,verified,yes,yes,yes,yes
REQ-011,P0,开发文档16,用户云存储决定,implement,remote-only AI file system,E2E-005,verified,yes,yes,yes,yes
REQ-012,P0,开发文档16,task center UI,implement,unified workflow and generation task center,E2E-015,verified,yes,yes,yes,yes
REQ-013,P0,开发文档19,迁移脚本,implement,versioned checksum migration ledger,E2E-021,verified,yes,yes,yes,yes
REQ-014,P0,开发文档18,health routes,implement,live and dependency readiness,E2E-017,verified,yes,yes,yes,yes
REQ-015,P1,开发文档17,无长连接基础设施,external dependency,WebSocket-CRDT collaboration,E2E-022,external_blocked,yes,yes,yes,yes
REQ-016,P1,开发文档22,audit and outbox tables,implement,immutable audit and retryable outbox delivery,E2E-018,verified,yes,yes,yes,yes
REQ-017,P0,开发文档33,缺少旧库和OSS样本,input dependency,legacy dry-run and golden comparison,E2E-024,input_blocked,yes,yes,yes,yes
REQ-018,P1,开发文档17,share route and page,implement,read-only and workflow snapshot links,E2E-011,verified,yes,yes,yes,yes
REQ-019,P0,开发文档9,用户个人中心要求,implement,profile phone password security sessions,E2E-008,verified,yes,yes,yes,yes
REQ-020,P0,用户设置要求,settings UI,implement,API keys gestures shortcuts personal center,E2E-007,verified,yes,yes,yes,yes
REQ-021,P1,开发文档18,admin overview,implement,admin-only service and metric overview,E2E-010,verified,yes,yes,yes,yes
REQ-022,P0,开发文档13,用户第三方API决定,implement,catalog priority fallback retry circuit simple counts,E2E-016,verified,yes,yes,yes,yes
REQ-023,P0,开发文档6-7,用户画布要求,implement,virtualized editable infinite canvas,E2E-012,verified,yes,yes,yes,yes
REQ-024,P0,开发文档7.5,Schema renderer tests,implement,registry-driven recursive schema UI,E2E-025,verified,yes,yes,yes,yes
REQ-025,P0,开发文档15,用户异步视频要求,implement,persistent async video jobs,E2E-015,verified,yes,yes,yes,yes
REQ-026,P1,开发文档14,unified package source,implement,agent-workflow through package contract,E2E-006,verified,yes,yes,yes,yes
REQ-027,P0,开发文档13.4,rate limiter test,implement,persistent rate limits and model audit,E2E-016,verified,yes,yes,yes,yes
REQ-028,P2,开发文档14和34,缺少发布者审核签名服务,external dependency,marketplace trust service,E2E-020,external_blocked,yes,yes,yes,yes
REQ-029,P2,开发文档14.9,缺少独立容器执行集群,external dependency,isolated worker pool,E2E-023,external_blocked,yes,yes,yes,yes
REQ-030,P0,开发文档32,用户明确不创建文档Skill,user excluded,package import contract only,E2E-019,user_excluded,yes,yes,yes,yes
REQ-031,P0,用户明确取消自定义接口UI,settings source,user excluded,no custom HTTP editor,E2E-007,user_excluded,yes,yes,yes,yes
REQ-032,P0,用户明确删除积分系统,product source,user excluded,no credits quota or billing,E2E-026,verified,yes,yes,yes,yes
REQ-033,P0,开发文档15,音频和文档任务标准,implement,audio-document nodes schemas artifacts and storage,E2E-025,verified,yes,yes,yes,yes
REQ-034,P0,开发文档11,Intent可引用资产和指定能力,implement,server-validated attachments and preferred capability,E2E-004,verified,yes,yes,yes,yes
REQ-035,P0,开发文档16,资产可以回到画布形成引用节点,implement,asset detail to typed canvas reference,E2E-005,verified,yes,yes,yes,yes
REQ-036,P0,开发文档12,节点级重试和下游分支重跑,implement,retry task retry branch and rerun from node,E2E-014,verified,yes,yes,yes,yes
REQ-037,P0,开发文档14.8,Package安装升级必须事务回滚,implement,atomic registry version capability audit outbox mutation,E2E-006,verified,yes,yes,yes,yes
REQ-038,P0,开发文档14.9,沙盒消息来源和加载失败回退,implement,opaque-origin source check bridge token timeout fallback,E2E-006,verified,yes,yes,yes,yes
REQ-039,P0,开发文档21,上传文件校验大小MIME扩展名和签名,implement,server-side upload content validation,E2E-005,verified,yes,yes,yes,yes
