id,surface,action,states,error_or_conflict,requirement,test_id,status
ACTION-001,认证,注册登录刷新退出,"idle|submitting|authenticated|expired",账号禁用与验证码错误,REQ-001,E2E-001,verified
ACTION-002,个人中心,改资料改手机改密码撤销设备,"loading|saving|saved|error",当前会话撤销后立即退出,REQ-019,E2E-008,verified
ACTION-003,画布,创建切换重命名复制归档删除恢复收藏搜索,"loading|ready|saving|saved|error",revision冲突提示,REQ-004,E2E-003,verified
ACTION-004,画布编辑,拖拽框选多选复制粘贴撤销重做自动整理,"draft|saving|saved|conflict",防抖提交失败可重试,REQ-023,E2E-012,verified
ACTION-005,连线,主动连接一对多删除连线,"idle|connecting|connected",类型不兼容和循环依赖拒绝,REQ-007,E2E-013,verified
ACTION-006,Intent,输入引用规划确认拒绝写入画布,"planning|awaiting_confirmation|accepted|rejected",Schema非法拒绝,REQ-005,E2E-004,verified
ACTION-007,Runtime,开始暂停恢复取消重试,"queued|running|paused|succeeded|failed|canceled",租约恢复与幂等冲突,REQ-006,E2E-014,verified
ACTION-008,异步视频,提交轮询取消重试恢复,"queued|running|succeeded|failed|canceled",页面关闭后服务端继续,REQ-025,E2E-015,verified
ACTION-009,文件系统,上传预览下载搜索分页收藏标签移动版本回收站,"loading|ready|missing|trashed",删除前检查引用,REQ-011,E2E-005,verified
ACTION-010,Package,导入校验启用禁用升级卸载,"validating|installed|disabled|uninstalled|failed",签名权限兼容性失败回滚,REQ-009,E2E-006,verified
ACTION-011,模型,新增测试发现启停路由故障切换,"unconfigured|checking|healthy|attention",限流熔断重试审计,REQ-022,E2E-016,verified
ACTION-012,企业,申请审核添加成员改角色停用,"pending|active|rejected|disabled",至少保留一个企业管理员,REQ-002,E2E-009,verified
