event,producer,consumer,durable,status
intent.plan.created,Intent Planner,Canvas projection,yes,implemented
run.queued,Kernel API,Kernel Worker,yes,implemented
run.started,Kernel Worker,Event stream,yes,implemented
task.started,Kernel Worker,Event stream,yes,implemented
task.succeeded,Kernel Worker,Downstream scheduler,yes,implemented
task.failed,Kernel Worker,Retry scheduler,yes,implemented
run.paused,Kernel API,Kernel Worker,yes,implemented
run.cancelled,Kernel API,Kernel Worker,yes,implemented
asset.created,Kernel Worker,Asset library,yes,implemented
package.installed,Package manager,Capability registry,yes,implemented
package.uninstalled,Package manager,Capability registry,yes,implemented
audit.recorded,Domain services,Admin audit view,no,partial
