id,route_or_channel,methods_or_event,scope,requirement,evidence,test_id,status
API-001,/api/v2/auth/*,"register|login|refresh|logout|send-code|password",public_or_session,REQ-001,app/api/v2/auth,E2E-001,verified
API-002,/api/v2/account/*,"profile|phone|password|security|sessions",user,REQ-019,app/api/v2/account,E2E-008,verified
API-003,/api/v2/workspaces,/api/v2/projects,"GET|POST",workspace,REQ-003,app/api/v2/workspaces,E2E-002,verified
API-004,/api/v2/canvases,"GET|POST|PUT|PATCH|DELETE",resource,REQ-004,app/api/v2/canvases/route.ts,E2E-003,verified
API-005,/api/v2/canvases/snapshots,"GET|POST",resource,REQ-004,app/api/v2/canvases/snapshots/route.ts,E2E-003,verified
API-006,/api/v2/canvases/share,"GET|POST|DELETE",resource_or_token,REQ-018,app/api/v2/canvases/share/route.ts,E2E-011,verified
API-007,/api/v2/intent/*,"conversations|messages|plans|SSE",resource,REQ-005,app/api/v2/intent,E2E-004,verified
API-008,/api/v2/kernel/*,"runs|dispatch|execute|events",resource,REQ-006,app/api/v2/kernel,E2E-014,verified
API-009,/api/v2/tasks,/api/v2/tasks/poll,"GET|PATCH|POST",workspace,REQ-012,app/api/v2/tasks,E2E-015,verified
API-010,/api/v2/files/*,"GET|POST|PATCH|DELETE|bulk|content|versions|lineage|reconcile",workspace,REQ-011,app/api/v2/files,E2E-005,verified
API-011,/api/v2/folders,/api/v2/collections,"GET|POST|PATCH|DELETE",workspace,REQ-011,app/api/v2/folders/route.ts,E2E-005,verified
API-012,/api/v2/models/*,"GET|POST|PATCH|DELETE|test|catalog|stats",workspace,REQ-022,app/api/v2/models,E2E-016,verified
API-013,/api/v2/packages,/api/v2/registry,"GET|POST|PATCH|DELETE",workspace,REQ-009,app/api/v2/packages/route.ts,E2E-006,verified
API-014,/api/v2/organizations/*,"GET|POST|PATCH",organization,REQ-002,app/api/v2/organizations,E2E-009,verified
API-015,/api/v2/admin/*,"GET|PATCH",system_admin,REQ-021,app/api/v2/admin,E2E-010,verified
API-016,/api/v2/health/*,"live|ready",public,REQ-014,app/api/v2/health,E2E-017,verified
EVENT-001,run_events,"run.*|task.*|kernel.*",workspace,REQ-006,app/lib/kernel-worker.ts,E2E-014,verified
EVENT-002,registry_events,"package.*|model.*|asset.*",workspace,REQ-016,db/schema.ts,E2E-018,verified
