domain,route,methods,auth,workspace_scope,status
auth,/api/v2/auth/register,POST,public,no,implemented
auth,/api/v2/auth/login,POST,public,no,implemented
auth,/api/v2/auth/password/verify,POST,public,no,implemented
auth,/api/v2/auth/password/reset,POST,public,no,implemented
workspace,/api/v2/workspaces,GET|POST,session,member,implemented
project,/api/v2/projects,GET|POST,session,member,implemented
canvas,/api/v2/canvases,GET|POST|PATCH|DELETE,session,resource,implemented
canvas,/api/v2/canvases/snapshots,GET|POST,session,resource,implemented
intent,/api/v2/intent/conversations,GET|POST,session,resource,implemented
intent,/api/v2/intent/messages,GET|POST,session,resource,implemented
intent,/api/v2/intent/plans,GET,session,resource,implemented
runtime,/api/v2/kernel/runs,GET|POST|PATCH,session,resource,implemented
runtime,/api/v2/kernel/dispatch,POST,session,resource,implemented
runtime,/api/v2/kernel/events,GET,session,resource,implemented
tasks,/api/v2/tasks,GET|PATCH,session,member,implemented
registry,/api/v2/registry,GET,session,member,implemented
packages,/api/v2/packages,POST|PATCH|DELETE,session,member,implemented
models,/api/v2/models,POST|PATCH|DELETE,session,member,implemented
models,/api/v2/models/test,POST,session,member,implemented
secrets,/api/v2/secrets,GET|POST|DELETE,session,member,implemented
assets,/api/v2/files,GET|POST|PATCH|DELETE,session,member,implemented
assets,/api/v2/files/content,GET,session,member,implemented
assets,/api/v2/files/versions,GET|POST,session,member,implemented
assets,/api/v2/files/lineage,GET,session,member,implemented
assets,/api/v2/files/reconcile,POST,session,member,implemented
assets,/api/v2/files/bulk,POST,session,member,implemented
health,/api/v2/health/live,GET,public,no,implemented
health,/api/v2/health/ready,GET,public,no,implemented
